Datum;Zeitstempel;ObisCode;Wert;Status
01.01.2024 00:15:00 +01:00;1704064500;1.5.0;0.120000;Normal
01.01.2024 00:30:00 +01:00;1704065400;1.5.0;0.080000;Normal
01.01.2024 00:45:00 +01:00;1704066300;1.5.0;0.160000;Normal
01.01.2024 01:00:00 +01:00;1704067200;1.5.0;0.040000;Normal
01.01.2024 01:15:00 +01:00;1704068100;1.5.0;0.080000;Normal
01.01.2024 01:30:00 +01:00;1704069000;1.5.0;0.040000;Normal
01.01.2024 01:45:00 +01:00;1704069900;1.5.0;0.160000;Normal
01.01.2024 02:00:00 +01:00;1704070800;1.5.0;0.080000;Normal
01.01.2024 02:15:00 +01:00;1704071700;1.5.0;0.040000;Normal
01.01.2024 02:30:00 +01:00;1704072600;1.5.0;0.120000;Normal
01.01.2024 02:45:00 +01:00;1704073500;1.5.0;0.040000;Normal
01.01.2024 03:00:00 +01:00;1704074400;1.5.0;0.040000;Normal
01.01.2024 03:15:00 +01:00;1704075300;1.5.0;0.120000;Normal
01.01.2024 03:30:00 +01:00;1704076200;1.5.0;0.160000;Normal
01.01.2024 03:45:00 +01:00;1704077100;1.5.0;0.040000;Normal
01.01.2024 04:00:00 +01:00;1704078000;1.5.0;0.040000;Normal
01.01.2024 04:15:00 +01:00;1704078900;1.5.0;0.080000;Normal
01.01.2024 04:30:00 +01:00;1704079800;1.5.0;0.080000;Normal
01.01.2024 04:45:00 +01:00;1704080700;1.5.0;0.040000;Normal
01.01.2024 05:00:00 +01:00;1704081600;1.5.0;0.160000;Normal
01.01.2024 05:15:00 +01:00;1704082500;1.5.0;0.080000;Normal
01.01.2024 05:30:00 +01:00;1704083400;1.5.0;0.040000;Normal
01.01.2024 05:45:00 +01:00;1704084300;1.5.0;0.040000;Normal
01.01.2024 06:00:00 +01:00;1704085200;1.5.0;0.120000;Normal
01.01.2024 06:15:00 +01:00;1704086100;1.5.0;0.080000;Normal
01.01.2024 06:30:00 +01:00;1704087000;1.5.0;0.120000;Normal
01.01.2024 06:45:00 +01:00;1704087900;1.5.0;0.080000;Normal
01.01.2024 07:00:00 +01:00;1704088800;1.5.0;0.080000;Normal
01.01.2024 07:15:00 +01:00;1704089700;1.5.0;0.040000;Normal
01.01.2024 07:30:00 +01:00;1704090600;1.5.0;0.040000;Normal
01.01.2024 07:45:00 +01:00;1704091500;1.5.0;0.120000;Normal
01.01.2024 08:00:00 +01:00;1704092400;1.5.0;0.120000;Normal
01.01.2024 08:15:00 +01:00;1704093300;1.5.0;0.080000;Normal
01.01.2024 08:30:00 +01:00;1704094200;1.5.0;0.040000;Normal
01.01.2024 08:45:00 +01:00;1704095100;1.5.0;0.080000;Normal
01.01.2024 09:00:00 +01:00;1704096000;1.5.0;0.040000;Normal
01.01.2024 09:15:00 +01:00;1704096900;1.5.0;0.080000;Normal
01.01.2024 09:30:00 +01:00;1704097800;1.5.0;0.200000;Normal
01.01.2024 09:45:00 +01:00;1704098700;1.5.0;0.160000;Normal
01.01.2024 10:00:00 +01:00;1704099600;1.5.0;0.080000;Normal
01.01.2024 10:15:00 +01:00;1704100500;1.5.0;0.120000;Normal
01.01.2024 10:30:00 +01:00;1704101400;1.5.0;0.120000;Normal
01.01.2024 10:45:00 +01:00;1704102300;1.5.0;0.160000;Normal
01.01.2024 11:00:00 +01:00;1704103200;1.5.0;0.240000;Normal
01.01.2024 11:15:00 +01:00;1704104100;1.5.0;0.320000;Normal
01.01.2024 11:30:00 +01:00;1704105000;1.5.0;0.480000;Normal
01.01.2024 11:45:00 +01:00;1704105900;1.5.0;0.280000;Normal
01.01.2024 12:00:00 +01:00;1704106800;1.5.0;0.160000;Normal
01.01.2024 12:15:00 +01:00;1704107700;1.5.0;0.160000;Normal
01.01.2024 12:30:00 +01:00;1704108600;1.5.0;0.040000;Normal
01.01.2024 12:45:00 +01:00;1704109500;1.5.0;0.040000;Normal
01.01.2024 13:00:00 +01:00;1704110400;1.5.0;0.120000;Normal
01.01.2024 13:15:00 +01:00;1704111300;1.5.0;0.040000;Normal
01.01.2024 13:30:00 +01:00;1704112200;1.5.0;0.080000;Normal
01.01.2024 13:45:00 +01:00;1704113100;1.5.0;0.160000;Normal
01.01.2024 14:00:00 +01:00;1704114000;1.5.0;0.120000;Normal
01.01.2024 14:15:00 +01:00;1704114900;1.5.0;2.400000;Normal
01.01.2024 14:30:00 +01:00;1704115800;1.5.0;0.200000;Normal
01.01.2024 14:45:00 +01:00;1704116700;1.5.0;0.200000;Normal
01.01.2024 15:00:00 +01:00;1704117600;1.5.0;0.280000;Normal
01.01.2024 15:15:00 +01:00;1704118500;1.5.0;0.200000;Normal
01.01.2024 15:30:00 +01:00;1704119400;1.5.0;0.120000;Normal
01.01.2024 15:45:00 +01:00;1704120300;1.5.0;0.080000;Normal
01.01.2024 16:00:00 +01:00;1704121200;1.5.0;0.040000;Normal
01.01.2024 16:15:00 +01:00;1704122100;1.5.0;0.080000;Normal
01.01.2024 16:30:00 +01:00;1704123000;1.5.0;0.160000;Normal
01.01.2024 16:45:00 +01:00;1704123900;1.5.0;0.080000;Normal
01.01.2024 17:00:00 +01:00;1704124800;1.5.0;0.040000;Normal
01.01.2024 17:15:00 +01:00;1704125700;1.5.0;0.440000;Normal
01.01.2024 17:30:00 +01:00;1704126600;1.5.0;2.720000;Normal
01.01.2024 17:45:00 +01:00;1704127500;1.5.0;0.720000;Normal
01.01.2024 18:00:00 +01:00;1704128400;1.5.0;0.160000;Normal
01.01.2024 18:15:00 +01:00;1704129300;1.5.0;0.400000;Normal
01.01.2024 18:30:00 +01:00;1704130200;1.5.0;0.280000;Normal
01.01.2024 18:45:00 +01:00;1704131100;1.5.0;0.320000;Normal
01.01.2024 19:00:00 +01:00;1704132000;1.5.0;0.400000;Normal
01.01.2024 19:15:00 +01:00;1704132900;1.5.0;0.400000;Normal
01.01.2024 19:30:00 +01:00;1704133800;1.5.0;0.280000;Normal
01.01.2024 19:45:00 +01:00;1704134700;1.5.0;0.240000;Normal
01.01.2024 20:00:00 +01:00;1704135600;1.5.0;0.280000;Normal
01.01.2024 20:15:00 +01:00;1704136500;1.5.0;0.280000;Normal
01.01.2024 20:30:00 +01:00;1704137400;1.5.0;0.240000;Normal
01.01.2024 20:45:00 +01:00;1704138300;1.5.0;0.160000;Normal
01.01.2024 21:00:00 +01:00;1704139200;1.5.0;0.080000;Normal
01.01.2024 21:15:00 +01:00;1704140100;1.5.0;0.040000;Normal
01.01.2024 21:30:00 +01:00;1704141000;1.5.0;0.080000;Normal
01.01.2024 21:45:00 +01:00;1704141900;1.5.0;0.160000;Normal
01.01.2024 22:00:00 +01:00;1704142800;1.5.0;0.120000;Normal
01.01.2024 22:15:00 +01:00;1704143700;1.5.0;0.040000;Normal
01.01.2024 22:30:00 +01:00;1704144600;1.5.0;0.080000;Normal
01.01.2024 22:45:00 +01:00;1704145500;1.5.0;0.080000;Normal
01.01.2024 23:00:00 +01:00;1704146400;1.5.0;0.080000;Normal
01.01.2024 23:15:00 +01:00;1704147300;1.5.0;0.120000;Normal
