Datum;Zeitstempel;ObisCode;Wert;Status
01.01.2024 00:15:00 +01:00;1704064500;01.05.2000;191.4;Normal
01.01.2024 00:30:00 +01:00;1704065400;01.05.2000;192;Normal
01.01.2024 00:45:00 +01:00;1704066300;01.05.2000;180.6;Normal
01.01.2024 01:00:00 +01:00;1704067200;01.05.2000;195;Normal
01.01.2024 01:15:00 +01:00;1704068100;01.05.2000;178.8;Normal
01.01.2024 01:30:00 +01:00;1704069000;01.05.2000;161.4;Normal
01.01.2024 01:45:00 +01:00;1704069900;01.05.2000;153.6;Normal
01.01.2024 02:00:00 +01:00;1704070800;01.05.2000;148.2;Normal
01.01.2024 02:15:00 +01:00;1704071700;01.05.2000;145.2;Normal
01.01.2024 02:30:00 +01:00;1704072600;01.05.2000;138.6;Normal
01.01.2024 02:45:00 +01:00;1704073500;01.05.2000;204;Normal
01.01.2024 03:00:00 +01:00;1704074400;01.05.2000;215.4;Normal
01.01.2024 03:15:00 +01:00;1704075300;01.05.2000;219;Normal
01.01.2024 03:30:00 +01:00;1704076200;01.05.2000;191.4;Normal
01.01.2024 03:45:00 +01:00;1704077100;01.05.2000;177;Normal
01.01.2024 04:00:00 +01:00;1704078000;01.05.2000;159.6;Normal
01.01.2024 04:15:00 +01:00;1704078900;01.05.2000;150;Normal
01.01.2024 04:30:00 +01:00;1704079800;01.05.2000;130.2;Normal
01.01.2024 04:45:00 +01:00;1704080700;01.05.2000;110.4;Normal
01.01.2024 05:00:00 +01:00;1704081600;01.05.2000;114;Normal
01.01.2024 05:15:00 +01:00;1704082500;01.05.2000;124.8;Normal
01.01.2024 05:30:00 +01:00;1704083400;01.05.2000;128.4;Normal
01.01.2024 05:45:00 +01:00;1704084300;01.05.2000;125.4;Normal
01.01.2024 06:00:00 +01:00;1704085200;01.05.2000;118.8;Normal
01.01.2024 06:15:00 +01:00;1704086100;01.05.2000;127.2;Normal
01.01.2024 06:30:00 +01:00;1704087000;01.05.2000;134.4;Normal
01.01.2024 06:45:00 +01:00;1704087900;01.05.2000;126.6;Normal
01.01.2024 07:00:00 +01:00;1704088800;01.05.2000;120;Normal
01.01.2024 07:15:00 +01:00;1704089700;01.05.2000;136.2;Normal
01.01.2024 07:30:00 +01:00;1704090600;01.05.2000;128.4;Normal
01.01.2024 07:45:00 +01:00;1704091500;01.05.2000;113.4;Normal
01.01.2024 08:00:00 +01:00;1704092400;01.05.2000;121.2;Normal
01.01.2024 08:15:00 +01:00;1704093300;01.05.2000;123;Normal
01.01.2024 08:30:00 +01:00;1704094200;01.05.2000;122.4;Normal
01.01.2024 08:45:00 +01:00;1704095100;01.05.2000;112.8;Normal
01.01.2024 09:00:00 +01:00;1704096000;01.05.2000;126.6;Normal
01.01.2024 09:15:00 +01:00;1704096900;01.05.2000;124.8;Normal
01.01.2024 09:30:00 +01:00;1704097800;01.05.2000;120;Normal
01.01.2024 09:45:00 +01:00;1704098700;01.05.2000;126.6;Normal
01.01.2024 10:00:00 +01:00;1704099600;01.05.2000;121.2;Normal
01.01.2024 10:15:00 +01:00;1704100500;01.05.2000;127.2;Normal
01.01.2024 10:30:00 +01:00;1704101400;01.05.2000;123;Normal
01.01.2024 10:45:00 +01:00;1704102300;01.05.2000;123;Normal
01.01.2024 11:00:00 +01:00;1704103200;01.05.2000;115.2;Normal
01.01.2024 11:15:00 +01:00;1704104100;01.05.2000;127.8;Normal
01.01.2024 11:30:00 +01:00;1704105000;01.05.2000;115.8;Normal
01.01.2024 11:45:00 +01:00;1704105900;01.05.2000;103.8;Normal
01.01.2024 12:00:00 +01:00;1704106800;01.05.2000;81.6;Normal
01.01.2024 12:15:00 +01:00;1704107700;01.05.2000;81;Normal
01.01.2024 12:30:00 +01:00;1704108600;01.05.2000;135.6;Normal
01.01.2024 12:45:00 +01:00;1704109500;01.05.2000;129;Normal
01.01.2024 13:00:00 +01:00;1704110400;01.05.2000;152.4;Normal
01.01.2024 13:15:00 +01:00;1704111300;01.05.2000;167.4;Normal
01.01.2024 13:30:00 +01:00;1704112200;01.05.2000;157.2;Normal
01.01.2024 13:45:00 +01:00;1704113100;01.05.2000;133.2;Normal
01.01.2024 14:00:00 +01:00;1704114000;01.05.2000;144.6;Normal
01.01.2024 14:15:00 +01:00;1704114900;01.05.2000;135.6;Normal
01.01.2024 14:30:00 +01:00;1704115800;01.05.2000;131.4;Normal
01.01.2024 14:45:00 +01:00;1704116700;01.05.2000;125.4;Normal
01.01.2024 15:00:00 +01:00;1704117600;01.05.2000;120;Normal
01.01.2024 15:15:00 +01:00;1704118500;01.05.2000;123.6;Normal
01.01.2024 15:30:00 +01:00;1704119400;01.05.2000;140.4;Normal
