Datum;Zeitstempel;ObisCode;Wert;Status
01.01.2024 00:15:00 +01:00;1704064500;2.5.0;0.000000;Normal
01.01.2024 00:30:00 +01:00;1704065400;2.5.0;0.000000;Normal
01.01.2024 00:45:00 +01:00;1704066300;2.5.0;0.000000;Normal
01.01.2024 01:00:00 +01:00;1704067200;2.5.0;0.000000;Normal
01.01.2024 01:15:00 +01:00;1704068100;2.5.0;0.000000;Normal
01.01.2024 01:30:00 +01:00;1704069000;2.5.0;0.000000;Normal
01.01.2024 01:45:00 +01:00;1704069900;2.5.0;0.000000;Normal
01.01.2024 02:00:00 +01:00;1704070800;2.5.0;0.000000;Normal
01.01.2024 02:15:00 +01:00;1704071700;2.5.0;0.000000;Normal
01.01.2024 02:30:00 +01:00;1704072600;2.5.0;0.000000;Normal
01.01.2024 02:45:00 +01:00;1704073500;2.5.0;0.000000;Normal
01.01.2024 03:00:00 +01:00;1704074400;2.5.0;0.000000;Normal
01.01.2024 03:15:00 +01:00;1704075300;2.5.0;0.000000;Normal
01.01.2024 03:30:00 +01:00;1704076200;2.5.0;0.000000;Normal
01.01.2024 03:45:00 +01:00;1704077100;2.5.0;0.000000;Normal
01.01.2024 04:00:00 +01:00;1704078000;2.5.0;0.000000;Normal
01.01.2024 04:15:00 +01:00;1704078900;2.5.0;0.000000;Normal
01.01.2024 04:30:00 +01:00;1704079800;2.5.0;0.000000;Normal
01.01.2024 04:45:00 +01:00;1704080700;2.5.0;0.000000;Normal
01.01.2024 05:00:00 +01:00;1704081600;2.5.0;0.000000;Normal
01.01.2024 05:15:00 +01:00;1704082500;2.5.0;0.000000;Normal
01.01.2024 05:30:00 +01:00;1704083400;2.5.0;0.000000;Normal
01.01.2024 05:45:00 +01:00;1704084300;2.5.0;0.000000;Normal
01.01.2024 06:00:00 +01:00;1704085200;2.5.0;0.000000;Normal
01.01.2024 06:15:00 +01:00;1704086100;2.5.0;0.000000;Normal
01.01.2024 06:30:00 +01:00;1704087000;2.5.0;0.000000;Normal
01.01.2024 06:45:00 +01:00;1704087900;2.5.0;0.000000;Normal
01.01.2024 07:00:00 +01:00;1704088800;2.5.0;0.000000;Normal
01.01.2024 07:15:00 +01:00;1704089700;2.5.0;0.000000;Normal
01.01.2024 07:30:00 +01:00;1704090600;2.5.0;0.000000;Normal
01.01.2024 07:45:00 +01:00;1704091500;2.5.0;0.000000;Normal
01.01.2024 08:00:00 +01:00;1704092400;2.5.0;0.000000;Normal
01.01.2024 08:15:00 +01:00;1704093300;2.5.0;0.000000;Normal
01.01.2024 08:30:00 +01:00;1704094200;2.5.0;0.000000;Normal
01.01.2024 08:45:00 +01:00;1704095100;2.5.0;-0.160000;Normal
01.01.2024 09:00:00 +01:00;1704096000;2.5.0;-0.160000;Normal
